 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B14:51: 0.000         2658.142794        26537.008758         9627.828395        -0.033939601         3.889564157         2.357666043        1
2023-04-20B14:51:30.000         2657.365205        26653.553016         9698.482775        -0.017902894         3.880066725         2.352631664        1
2023-04-20B14:52: 0.000         2657.068388        26769.813575         9768.986631        -0.001888131         3.870650485         2.347630999        1
2023-04-20B14:52:30.000         2657.251682        26885.792838         9839.340968         0.014104477         3.861313393         2.342663710        1
2023-04-20B14:53: 0.000         2657.914420        27001.493151         9909.546783         0.030074728         3.852053451         2.337729464        1
2023-04-20B14:53:30.000         2659.055927        27116.916799         9979.605062         0.046022433         3.842868705         2.332827932        1
2023-04-20B14:54: 0.000         2660.675525        27232.066008        10049.516782         0.061947413         3.833757248         2.327958786        1
2023-04-20B14:54:30.000         2662.772529        27346.942950        10119.282909         0.077849501         3.824717212         2.323121703        1
2023-04-20B14:55: 0.000         2665.346251        27461.549739        10188.904400         0.093728538         3.815746773         2.318316363        1
2023-04-20B14:55:30.000         2668.395996        27575.888436        10258.382204         0.109584374         3.806844147         2.313542449        1
2023-04-20B14:56: 0.000         2671.921066        27689.961050        10327.717257         0.125416869         3.798007588         2.308799648        1
2023-04-20B14:56:30.000         2675.920759        27803.769537        10396.910489         0.141225891         3.789235391         2.304087649        1
2023-04-20B14:57: 0.000         2680.394369        27917.315802        10465.962820         0.157011317         3.780525886         2.299406147        1
2023-04-20B14:57:30.000         2685.341187        28030.601702        10534.875159         0.172773030         3.771877440         2.294754836        1
2023-04-20B14:58: 0.000         2690.760499        28143.629045        10603.648408         0.188510921         3.763288456         2.290133418        1
2023-04-20B14:58:30.000         2696.651589        28256.399590        10672.283459         0.204224888         3.754757371         2.285541594        1
2023-04-20B14:59: 0.000         2703.013738        28368.915053        10740.781195         0.219914836         3.746282656         2.280979072        1
2023-04-20B14:59:30.000         2709.846224        28481.177100        10809.142492         0.235580677         3.737862814         2.276445560        1
2023-04-20B15:00: 0.000         2717.148322        28593.187357        10877.368215         0.251222327         3.729496380         2.271940772        1
2023-04-20B15:00:30.000         2724.919306        28704.947405        10945.459221         0.266839708         3.721181921         2.267464424        1
2023-04-20B15:01: 0.000         2733.158447        28816.458780        11013.416360         0.282432750         3.712918035         2.263016235        1
2023-04-20B15:01:30.000         2741.865013        28927.722981        11081.240473         0.298001386         3.704703346         2.258595927        1
2023-04-20B15:02: 0.000         2751.038271        29038.741461        11148.932391         0.313545554         3.696536511         2.254203226        1
2023-04-20B15:02:30.000         2760.677486        29149.515639        11216.492938         0.329065196         3.688416212         2.249837861        1
2023-04-20B15:03: 0.000         2770.781922        29260.046889        11283.922932         0.344560261         3.680341161         2.245499563        1
2023-04-20B15:03:30.000         2781.350841        29370.336550        11351.223179         0.360030701         3.672310094         2.241188068        1
2023-04-20B15:04: 0.000         2792.383503        29480.385924        11418.394480         0.375476470         3.664321776         2.236903113        1
2023-04-20B15:04:30.000         2803.879167        29590.196274        11485.437627         0.390897529         3.656374994         2.232644440        1
2023-04-20B15:05: 0.000         2815.837092        29699.768829        11552.353405         0.406293841         3.648468563         2.228411791        1
2023-04-20B15:05:30.000         2828.256535        29809.104781        11619.142591         0.421665372         3.640601321         2.224204916        1
2023-04-20B15:06: 0.000         2841.136751        29918.205291        11685.805954         0.437012092         3.632772129         2.220023563        1
2023-04-20B15:06:30.000         2854.476997        30027.071481        11752.344256         0.452333975         3.624979871         2.215867485        1
2023-04-20B15:07: 0.000         2868.276526        30135.704443        11818.758252         0.467630996         3.617223455         2.211736439        1
2023-04-20B15:07:30.000         2882.534593        30244.105238        11885.048688         0.482903134         3.609501809         2.207630183        1
2023-04-20B15:08: 0.000         2897.250450        30352.274891        11951.216307         0.498150371         3.601813885         2.203548478        1
2023-04-20B15:08:30.000         2912.423350        30460.214400        12017.261839         0.513372689         3.594158653         2.199491089        1
